Module,Transition,Spectrum_RelErr,Baseline_MSE,Baseline_MAE,Baseline_RelErr,Inner_MSE,Inner_MAE,Inner_RelErr,Ambient_MSE,Ambient_MAE,Ambient_RelErr,Drift_Ratio
Lang_L0.self_attn.q_proj,Base->Stage1,1.3988866519177421e-05,5.675555542237727e-10,9.098149399158761e-06,0.0006475464079400561,2.648694626438665e-13,4.1037170954298903e-07,1.3988870660991036e-05,2.648694626434427e-13,4.103717095428199e-07,1.3988870660979847e-05,1.0000000000016003
Lang_L0.self_attn.q_proj,Stage1->Stage2,4.8244340077124794e-05,6.0817937301143836e-09,4.4256292370356554e-05,0.002119738439250138,3.150353737266209e-12,1.4070026475654455e-06,4.8244309256357374e-05,3.150353737261712e-12,1.4070026475649924e-06,4.824430925632293e-05,1.0000000000014275
Lang_L0.self_attn.q_proj,Base->Stage2,4.940509960528399e-05,6.397271366932976e-09,4.593402625363563e-05,0.0021740214205169276,3.3037744979632813e-12,1.4416554080180034e-06,4.940508267064012e-05,3.303774497965945e-12,1.4416554080185817e-06,4.9405082670660044e-05,0.9999999999991938
Lang_L0.self_attn.k_proj,Base->Stage1,1.115172481934379e-05,4.3488454097068426e-10,6.898376338826395e-06,0.0004140171339485666,3.7279994070075044e-10,1.0536313057939906e-05,0.00038332685586028837,3.1551609369855993e-13,4.279018630567879e-07,1.1151725940928237e-05,1181.5560224858727
Lang_L0.self_attn.k_proj,Stage1->Stage2,3.762307853576192e-05,4.669711596671034e-09,3.353965999242092e-05,0.0013566749752915704,3.928602566511558e-09,4.1443341684889356e-05,0.001244370860521488,3.5912529762701514e-12,1.4601743876660245e-06,3.762303132076969e-05,1093.9364596341456
Lang_L0.self_attn.k_proj,Base->Stage2,3.806707243872083e-05,4.849065006944587e-09,3.451454348080141e-05,0.0013824829624602063,4.067911379483567e-09,4.2454941387813314e-05,0.0012662414509102388,3.676515362999611e-12,1.4630606981048614e-06,3.806702849533575e-05,1106.4584199546555
Lang_L0.self_attn.v_proj,Base->Stage1,3.867655810749559e-05,7.851048457107667e-10,1.414005241917593e-05,0.001517598092711535,6.643990304533613e-10,1.722158924028025e-05,0.0013960707826339456,5.099301694251601e-13,5.475458313484143e-07,3.867660069758243e-05,1302.921596504738
Lang_L0.self_attn.v_proj,Stage1->Stage2,0.0001295059453932597,5.6179201599416385e-09,5.115339168915156e-05,0.004059444444487375,4.684961930793388e-09,5.2124058527725734e-05,0.0037070791087490873,5.717333512257002e-12,1.7707376568168882e-06,0.00012950173420734804,819.4312822139232
Lang_L0.self_attn.v_proj,Base->Stage2,0.00013435721796841585,6.0889399694451855e-09,5.378491400076513e-05,0.004226196315074683,5.06087602195195e-09,5.442972922194641e-05,0.003852934889901672,6.153710704330278e-12,1.8157824288555514e-06,0.0001343529969795797,822.4104552706198
Lang_L0.self_attn.o_proj,Base->Stage1,2.8429522417482702e-05,8.021591564640308e-10,1.3678075991039457e-05,0.0012717875008774978,4.0083978184457394e-13,5.02977336879471e-07,2.842953055027567e-05,4.008397818441558e-13,5.029773368792886e-07,2.842953055026085e-05,1.0000000000010432
Lang_L0.self_attn.o_proj,Stage1->Stage2,7.658363062390709e-05,5.899374838143034e-09,5.070708919855879e-05,0.003448924775409385,2.9087295492153873e-12,1.345598235343188e-06,7.65830040006683e-05,2.9087295492151013e-12,1.345598235343122e-06,7.658300400066453e-05,1.0000000000000984
Lang_L0.self_attn.o_proj,Base->Stage2,7.985056015681719e-05,6.40503985246211e-09,5.346900188313991e-05,0.003593698550373261,3.1621875397137713e-12,1.3998316611927801e-06,7.984992964546505e-05,3.1621875397129538e-12,1.3998316611925049e-06,7.984992964545472e-05,1.0000000000002585
Lang_L0.mlp.gate_proj,Base->Stage1,1.0120611725774537e-05,8.05936506524306e-10,1.2339000166063806e-05,0.0010604378835220875,6.545062270763955e-10,1.649393734120241e-05,0.0009556342608838128,7.340809624905524e-14,2.1299162478886724e-07,1.012061258979291e-05,8915.995108438996
Lang_L0.mlp.gate_proj,Stage1->Stage2,3.204555889276763e-05,7.613301796075563e-09,5.471031085108426e-05,0.003259255801097694,6.164516578104007e-09,5.783848076876745e-05,0.002932793173264869,7.359800812043606e-13,6.729441195149879e-07,3.204534522301179e-05,8375.92855504509
Lang_L0.mlp.gate_proj,Base->Stage2,3.311728890659913e-05,8.071583208039132e-09,5.6922892692983514e-05,0.003355917596739678,6.535021157436176e-09,5.9844537934508913e-05,0.003019641763191426,7.860315669497914e-13,6.952992860352085e-07,3.311707091816954e-05,8313.942381214325
Lang_L0.mlp.up_proj,Base->Stage1,1.1389318183923093e-05,8.200912359661492e-10,1.2950754280369214e-05,0.0011950643116740657,6.617282105644035e-10,1.688059389280094e-05,0.0010734949770682789,7.448611365255557e-14,2.1517245368143127e-07,1.1389321422123967e-05,8883.91376748517
Lang_L0.mlp.up_proj,Stage1->Stage2,3.534048963380141e-05,7.33421217078745e-09,5.5076992600137574e-05,0.0035738274430272823,5.892142292054696e-09,5.713937247024963e-05,0.003203269346598704,7.171743374242927e-13,6.664846525339177e-07,3.5340217261683095e-05,8215.774023950891
Lang_L0.mlp.up_proj,Base->Stage2,3.685416691077332e-05,7.802880851649499e-09,5.73844844470296e-05,0.0036862461533068887,6.2610125480063546e-09,5.918531478699667e-05,0.003302015684044769,7.799253924266255e-13,6.949431067715185e-07,3.685389335077931e-05,8027.707020188323
Lang_L0.mlp.down_proj,Base->Stage1,1.1937085165282725e-05,8.806620178372378e-10,1.3530140393124583e-05,0.0011749747908333255,6.883359879160656e-10,1.7674643904742955e-05,0.00103878137423202,9.089684696413065e-14,2.3997575501748585e-07,1.1937086068159743e-05,7572.7157861448595
Lang_L0.mlp.down_proj,Stage1->Stage2,3.7368194030172895e-05,7.527633448998684e-09,5.607868730668825e-05,0.0034351913825226153,5.801116475360612e-09,5.764547039761438e-05,0.003015626135974547,8.907511400372997e-13,7.506638777424756e-07,3.736800387975561e-05,6512.611900915102
Lang_L0.mlp.down_proj,Base->Stage2,3.9420723810742386e-05,8.035016984673684e-09,5.856590821475155e-05,0.0035490744151441857,6.159295758373926e-09,5.971730196267115e-05,0.0031073289787336127,9.912915913449807e-13,7.908380866731829e-07,3.942052619753514e-05,6213.404624987302
Lang_L1.self_attn.q_proj,Base->Stage1,1.8086652768877108e-05,5.797149927047863e-10,9.896137935962689e-06,0.0008097580670121563,2.8921488301916356e-13,4.248907059210344e-07,1.8086658395608604e-05,2.892148830186896e-13,4.2489070592073705e-07,1.8086658395593778e-05,1.000000000001639
Lang_L1.self_attn.q_proj,Stage1->Stage2,5.921189631799809e-05,5.01904335657878e-09,4.1123382750608665e-05,0.0023826328223392045,3.0997160056634114e-12,1.3803652108153412e-06,5.921170945478673e-05,3.0997160056638787e-12,1.3803652108155053e-06,5.921170945479119e-05,0.9999999999998492
